發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,天候,速限,道路型態,事故位置
108,3,23,23,54,2,01大同區,大同區西寧北路玉泉公園旁,0,1,1,B03,2.0,24.0,3.0,6.0,50.0,14.0,9.0
108,1,10,21,45,2,01大同區,大同區西寧北路與忠孝西路1段口,0,1,3,B03,2.0,39.0,4.0,8.0,50.0,4.0,1.0
108,1,22,15,2,2,01大同區,大同區大稻埕堤外便道,0,1,3,B03,2.0,40.0,3.0,7.0,40.0,14.0,9.0
108,5,2,20,16,2,01大同區,大同區華陰街71巷與華陰街口,0,1,1,B01,2.0,69.0,3.0,6.0,50.0,3.0,2.0
108,6,5,8,32,2,01大同區,大同區承德路3段與民族西路口,0,1,1,B02,2.0,45.0,3.0,8.0,50.0,5.0,2.0
108,8,7,9,10,2,01大同區,大同區承德路3段與撫順街口,0,1,1,B03,2.0,54.0,3.0,8.0,50.0,3.0,1.0
108,7,22,8,20,2,01大同區,大同區酒泉街與迪化街2段口,0,1,1,B03,2.0,53.0,3.0,6.0,50.0,3.0,2.0
108,7,22,9,58,2,01大同區,大同區重慶北路2段80巷與重慶北路2段口,0,1,1,B02,2.0,40.0,3.0,8.0,50.0,3.0,1.0
108,7,30,18,25,2,01大同區,大同區環河北路2段與酒泉街口,0,2,1,B03,2.0,23.0,3.0,8.0,50.0,3.0,1.0
108,1,18,10,0,2,01大同區,大同區重慶北路3段113巷與重慶北路3段口,0,1,1,B03,2.0,62.0,3.0,8.0,50.0,4.0,1.0
108,1,16,6,31,2,01大同區,大同區延平北路2段與南京西路口,0,1,1,B02,2.0,27.0,3.0,6.0,50.0,4.0,1.0
108,2,1,10,31,2,01大同區,大同區延平北路3段與伊寧街口,0,1,2,B03,2.0,59.0,3.0,7.0,0.0,4.0,2.0
108,1,5,16,7,2,01大同區,大同區鄭州路與塔城街口,0,1,2,B03,2.0,28.0,3.0,8.0,40.0,4.0,1.0
108,2,6,11,26,2,01大同區,大同區重慶北路1段與長安西路口,0,1,1,B03,2.0,63.0,3.0,8.0,50.0,4.0,1.0
108,2,23,10,8,2,01大同區,大同區承德路2段187巷,0,1,2,B03,2.0,53.0,3.0,7.0,40.0,15.0,9.0
108,2,14,9,28,2,01大同區,大同區西寧北路與西寧北路5巷口,0,1,1,B03,2.0,42.0,3.0,8.0,50.0,3.0,2.0
108,2,14,9,28,2,01大同區,大同區西寧北路與西寧北路5巷口,0,1,3,B03,2.0,60.0,3.0,8.0,50.0,3.0,2.0
108,1,20,18,10,2,01大同區,大同區鄭州路與太原路11巷口,0,1,2,B03,2.0,48.0,3.0,7.0,40.0,3.0,2.0
108,2,17,16,44,2,01大同區,大同區環河北路1段與長安西路口,0,2,2,B03,2.0,39.0,3.0,7.0,50.0,3.0,2.0
108,3,30,14,57,2,01大同區,大同區重慶北路3段236巷與重慶北路3段口,0,2,1,B03,2.0,53.0,3.0,7.0,50.0,4.0,2.0
108,3,21,18,20,2,01大同區,大同區重慶北路3段與酒泉街口,0,1,1,B03,2.0,45.0,2.0,8.0,50.0,4.0,2.0
108,4,16,16,18,2,01大同區,大同區民生西路239號旁,0,1,1,B03,2.0,81.0,3.0,6.0,50.0,14.0,9.0
108,7,24,20,24,2,01大同區,大同區大龍街278號,0,2,1,B03,2.0,52.0,3.0,8.0,50.0,14.0,9.0
108,9,13,21,30,2,01大同區,大同區市民高架道往西第442號燈桿,0,2,2,B03,2.0,42.0,2.0,8.0,60.0,10.0,9.0
108,8,27,10,28,2,01大同區,大同區民生西路138號,0,1,2,B03,2.0,48.0,3.0,8.0,0.0,14.0,9.0
108,8,6,12,43,2,01大同區,大同區安西街與民權西路口,0,1,1,B03,2.0,32.0,3.0,8.0,40.0,4.0,2.0
108,9,9,14,15,2,01大同區,大同區延平北路4段與延平北路4段111巷口,0,2,1,B03,2.0,59.0,3.0,8.0,30.0,4.0,1.0
108,9,8,15,30,2,01大同區,大同區環河北路1段往北玉泉公園前,0,1,2,B03,2.0,39.0,3.0,8.0,50.0,14.0,9.0
108,9,3,7,45,2,01大同區,大同區民生西路423巷與民生西路口,0,1,1,B03,2.0,41.0,3.0,8.0,50.0,4.0,1.0
108,1,15,22,10,2,01大同區,大同區長安西路287-2號,0,1,1,B03,2.0,46.0,3.0,7.0,50.0,14.0,9.0
108,8,3,9,36,2,01大同區,大同區承德路1段與市民大道1段口,0,1,1,B02,2.0,53.0,3.0,8.0,50.0,5.0,2.0
