年底別,汽車/小客車計
57年,16968
58年,20666
59年,27018
60年,27299
61年,33357
62年,40144
63年,50100
64年,58625
65年,65825
66年,76187
67年,91309
68年,112505
69年,131474
70年,151425
71年,168070
72年,187722
73年,207920
74年,222823
75年,244833
76年,280573
77年,337393
78年,391393
79年,426957
80年,447574
81年,478528
82年,503743
83年,529625
84年,548447
85年,570667
86年,588577
87年,607205
88年,581831
89年,595742
90年,595614
91年,606839
92年,622195
93年,635189
94年,650519
95年,654854
96年,650181
97年,639709
98年,637354
99年,646502
100年,664044
101年,675228
102年,686234
103年,702239
104年,712990
105年,718400
106年,724051
107年,727657
108年,729043
109年,728947
110年,734913
