發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,2-30日死亡人數,受傷人數,當事人序,車種,天候,光線,道路類別,速限,道路型態,事故位置,路面狀況1,路面狀況2,路面狀況3,道路障礙1,道路障礙2,號誌1,號誌2,車道劃分-分向,車道劃分-分道1,車道劃分-分道2,車道劃分-分道3,事故類型及型態,性別,年齡,受傷程度,主要傷處,保護裝置,行動電話,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位1,車輛撞擊部位2,肇因碼-個別,肇因碼-主要,個人肇逃否,職業,旅次目的,X,Y
110,2,12,22,22,1,05中正區,中正區汀州路1段136號,1,0.0,0,2,H01,6.0,3.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,2.0,8.0,1,58.0,1.0,9.0,4.0,5.0,8.0,17.0,8.0,20.0,9.0,16.0,,60.0,23.0,1.0,22.0,9.0,121.5080732,25.029433
110,4,25,1,58,1,05中正區,中正區南海路與和平西路2段口,1,0.0,1,2,H01,8.0,3.0,5.0,30,4.0,1.0,1.0,5.0,4.0,5.0,7.0,1.0,1.0,5.0,4.0,5.0,2.0,3.0,1,63.0,1.0,1.0,4.0,5.0,8.0,16.0,8.0,20.0,9.0,16.0,,52.0,15.0,1.0,22.0,9.0,121.5091933,25.03048854
110,6,12,9,9,1,05中正區,中正區忠孝東路2段與金山南路1段口,1,0.0,1,3,H02,8.0,1.0,5.0,50,4.0,1.0,1.0,5.0,4.0,5.0,7.0,1.0,1.0,1.0,4.0,5.0,2.0,16.0,2,30.0,1.0,9.0,1.0,5.0,7.0,21.0,8.0,20.0,10.0,16.0,,67.0,25.0,1.0,22.0,9.0,121.5297798,25.04309015
110,8,8,14,58,1,05中正區,中正區中華路1段與長沙街1段口,1,0.0,0,1,C03,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,2.0,5.0,7.0,4.0,4.0,8.0,4.0,5.0,2.0,18.0,1,36.0,1.0,3.0,1.0,1.0,7.0,9.0,1.0,10.0,3.0,12.0,,13.0,13.0,1.0,22.0,9.0,121.5079998,25.04045549
110,8,10,4,45,1,05中正區,中正區汀州路3段25號,1,0.0,0,1,H01,8.0,3.0,5.0,40,14.0,7.0,1.0,5.0,4.0,5.0,6.0,4.0,4.0,1.0,4.0,5.0,2.0,9.0,1,76.0,1.0,1.0,4.0,5.0,8.0,20.0,8.0,20.0,10.0,16.0,,51.0,51.0,1.0,22.0,9.0,121.5262485,25.01986106
110,9,3,14,34,2,05中正區,中正區中山南路與青島西路口,0,1.0,0,2,C03,8.0,1.0,5.0,50,4.0,1.0,1.0,5.0,4.0,5.0,7.0,2.0,1.0,5.0,4.0,5.0,2.0,15.0,1,43.0,5.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,11.0,14.0,,44.0,25.0,1.0,22.0,9.0,121.519274,25.04453512
110,9,16,9,50,1,05中正區,中正區羅斯福路1段41號(中正紀念堂站3號出入口),1,0.0,0,1,F02,8.0,1.0,5.0,40,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,3.0,4.0,4.0,2.0,18.0,1,66.0,1.0,1.0,4.0,1.0,7.0,9.0,8.0,20.0,9.0,16.0,,42.0,42.0,1.0,22.0,9.0,121.5188748,25.03212242
110,10,4,10,20,2,05中正區,中正區中華路1段與貴陽街1段口,0,1.0,0,2,F01,8.0,1.0,5.0,50,4.0,1.0,1.0,5.0,4.0,5.0,7.0,2.0,1.0,1.0,4.0,1.0,2.0,12.0,1,84.0,5.0,1.0,4.0,1.0,7.0,9.0,8.0,20.0,11.0,16.0,,42.0,8.0,1.0,22.0,9.0,121.507495,25.03935993
110,12,9,0,45,1,05中正區,中正區辛亥車行地下道(汀州車行地下道),1,0.0,2,1,B03,8.0,3.0,5.0,40,7.0,7.0,1.0,5.0,4.0,5.0,1.0,4.0,4.0,2.0,1.0,5.0,2.0,20.0,1,22.0,1.0,1.0,2.0,4.0,7.0,6.0,1.0,8.0,2.0,8.0,,13.0,13.0,1.0,22.0,9.0,121.5271166,25.01862236
110,12,9,8,25,2,05中正區,中正區和平西路1段與重慶南路3段口口,0,1.0,1,2,H01,8.0,1.0,5.0,50,5.0,2.0,1.0,5.0,4.0,5.0,7.0,2.0,1.0,1.0,4.0,5.0,1.0,3.0,1,93.0,5.0,1.0,4.0,5.0,8.0,16.0,8.0,20.0,10.0,16.0,,52.0,23.0,1.0,22.0,9.0,121.5163166,25.02718353
109,1,3,8,56,1,11南港區,南港區研究院路2段與研究院路2段53巷口,1,0.0,0,2,H01,8.0,1.0,5.0,50,3.0,1.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,5.0,1.0,3.0,2,85.0,1.0,9.0,4.0,5.0,,8.0,16.0,8.0,20.0,10.0,16.0,67.0,15.0,1.0,22.0,9.0,121.6159417,25.04445022
109,1,3,16,50,2,12內湖區,內湖區舊宗路2段207號,0,1.0,0,2,C03,8.0,1.0,5.0,50,11.0,7.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,3.0,4.0,5.0,1.0,17.0,1,63.0,5.0,1.0,1.0,1.0,,7.0,9.0,1.0,10.0,2.0,12.0,26.0,7.0,1.0,22.0,9.0,121.5737409,25.07270881
109,1,6,11,25,1,05中正區,中正區中華路1段與漢口街1段口,1,0.0,0,2,H01,8.0,1.0,5.0,50,4.0,1.0,1.0,5.0,4.0,5.0,7.0,2.0,1.0,10.0,5.0,1.0,2.0,1.0,1,84.0,1.0,1.0,4.0,5.0,,8.0,16.0,8.0,20.0,10.0,16.0,51.0,23.0,1.0,22.0,9.0,121.5093711,25.04521984
109,1,13,19,15,2,12內湖區,內湖區環山路2段與環山路2段50巷口,0,1.0,1,2,H01,8.0,1.0,5.0,50,4.0,2.0,1.0,5.0,4.0,5.0,7.0,1.0,1.0,5.0,4.0,5.0,2.0,3.0,1,94.0,5.0,1.0,4.0,5.0,,8.0,18.0,8.0,20.0,10.0,16.0,51.0,23.0,1.0,22.0,9.0,121.5738315,25.08533455
109,1,17,9,0,1,05中正區,中正區水源路1-9號,1,0.0,0,1,C03,7.0,1.0,5.0,30,14.0,9.0,1.0,4.0,4.0,5.0,7.0,4.0,4.0,10.0,5.0,5.0,2.0,29.0,2,29.0,1.0,1.0,1.0,1.0,,7.0,15.0,1.0,10.0,9.0,14.0,43.0,43.0,1.0,22.0,9.0,121.5274716,25.01318344
109,1,29,22,45,1,04大安區,大安區和平東路2段與建國南路2段口,1,0.0,0,2,C03,8.0,3.0,5.0,50,4.0,1.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,5.0,5.0,2.0,16.0,1,19.0,1.0,9.0,1.0,1.0,,7.0,9.0,1.0,10.0,11.0,11.0,13.0,6.0,1.0,22.0,9.0,121.5379067,25.02566707
109,1,30,20,3,1,02萬華區,萬華區環河南路2段與環河南路2段130巷口,1,0.0,0,1,H01,8.0,3.0,5.0,50,3.0,2.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,2.0,5.0,5.0,1.0,3.0,2,91.0,1.0,1.0,4.0,5.0,,8.0,16.0,8.0,20.0,11.0,16.0,51.0,51.0,1.0,22.0,9.0,121.4949829,25.03618329
109,2,10,1,20,1,01大同區,大同區延平北路3段與民權西路口,1,0.0,1,1,C03,8.0,3.0,5.0,50,4.0,2.0,1.0,5.0,4.0,5.0,7.0,2.0,1.0,1.0,5.0,5.0,2.0,17.0,2,22.0,1.0,9.0,3.0,4.0,,7.0,15.0,1.0,10.0,9.0,11.0,43.0,43.0,1.0,22.0,9.0,121.5111446,25.06299954
109,2,14,4,11,1,07信義區,信義區忠孝東路5段297號,1,0.0,0,1,C03,8.0,3.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,2.0,13.0,1,47.0,1.0,9.0,1.0,1.0,,7.0,9.0,1.0,10.0,8.0,11.0,21.0,21.0,1.0,22.0,9.0,121.5732078,25.04098419
109,2,21,7,15,1,11南港區,南港區忠孝東路6段84號,1,0.0,0,1,C03,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,5.0,2.0,26.0,1,68.0,1.0,3.0,1.0,1.0,,7.0,9.0,1.0,10.0,2.0,11.0,43.0,43.0,1.0,22.0,9.0,121.5841043,25.04702449
109,2,23,13,28,1,12內湖區,內湖區內湖路1段與內湖路1段203巷口口,1,0.0,1,2,C03,7.0,1.0,5.0,50,4.0,2.0,1.0,5.0,4.0,5.0,7.0,2.0,1.0,1.0,4.0,5.0,2.0,16.0,1,19.0,1.0,9.0,1.0,1.0,,7.0,9.0,1.0,10.0,2.0,11.0,44.0,25.0,1.0,22.0,9.0,121.5634561,25.08338084
109,2,27,7,35,1,11南港區,南港區環東大道燈桿133,1,0.0,0,1,C02,8.0,1.0,5.0,60,10.0,9.0,1.0,5.0,4.0,5.0,1.0,4.0,4.0,8.0,3.0,5.0,1.0,20.0,1,48.0,1.0,1.0,1.0,1.0,,7.0,9.0,4.0,10.0,2.0,11.0,43.0,43.0,1.0,22.0,9.0,121.6146701,25.06353165
109,2,27,8,10,1,01大同區,大同區伊寧街與重慶北路3段口,1,0.0,0,1,H01,7.0,1.0,5.0,50,4.0,1.0,1.0,5.0,4.0,5.0,7.0,2.0,1.0,1.0,4.0,5.0,2.0,9.0,2,67.0,1.0,1.0,4.0,5.0,,8.0,16.0,8.0,20.0,10.0,16.0,52.0,52.0,1.0,22.0,9.0,121.5136459,25.06471283
109,3,2,8,4,2,12內湖區,內湖區康寧路3段99巷39弄與康寧路3段75巷24弄口,0,1.0,2,2,C03,7.0,1.0,5.0,30,4.0,1.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,10.0,5.0,5.0,2.0,15.0,1,65.0,5.0,9.0,1.0,1.0,,7.0,9.0,1.0,10.0,1.0,14.0,44.0,6.0,1.0,22.0,9.0,121.6105212,25.0739896
109,3,9,21,30,1,07信義區,信義區松壽路與松高路20巷口,1,0.0,0,1,C03,8.0,3.0,5.0,50,4.0,2.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,2.0,17.0,1,58.0,1.0,1.0,1.0,1.0,,7.0,5.0,1.0,10.0,2.0,12.0,6.0,6.0,1.0,22.0,9.0,121.5676061,25.03582493
109,3,10,8,50,1,08士林區,士林區士商路76號前,1,0.0,0,2,H01,6.0,1.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,4.0,4.0,5.0,5.0,5.0,2.0,3.0,2,90.0,1.0,1.0,4.0,5.0,,8.0,16.0,8.0,20.0,10.0,16.0,51.0,23.0,1.0,22.0,9.0,121.5197287,25.09109755
109,3,16,2,34,1,08士林區,士林區承德路5段與基河路口,1,0.0,0,2,C03,8.0,3.0,5.0,50,4.0,2.0,1.0,5.0,4.0,5.0,7.0,2.0,1.0,1.0,4.0,5.0,1.0,16.0,1,66.0,1.0,9.0,1.0,1.0,,7.0,5.0,1.0,10.0,9.0,12.0,44.0,25.0,1.0,21.0,8.0,121.513227,25.09776532
