發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,2-30日死亡人數,受傷人數,當事人序,車種,天候,光線,道路類別,速限,道路型態,事故位置,路面狀況1,路面狀況2,路面狀況3,道路障礙1,道路障礙2,號誌1,號誌2,車道劃分-分向,車道劃分-分道1,車道劃分-分道2,車道劃分-分道3,事故類型及型態,性別,年齡,受傷程度,主要傷處,保護裝置,行動電話,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位1,車輛撞擊部位2,肇因碼-個別,肇因碼-主要,個人肇逃否,職業,旅次目的,X,Y,Unnamed: 0
110,1,21,7,15,2,05中正區,中正區愛國西路42巷附近,0,0.0,1,1,B03,8.0,1.0,5.0,50,14.0,8.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,1.0,2.0,12.0,1,68.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,8.0,2.0,1.0,,42.0,42.0,1.0,22.0,9.0,121.5084342,25.03643203,
110,1,21,7,15,2,05中正區,中正區愛國西路42巷附近,0,0.0,1,2,A02,8.0,1.0,5.0,50,14.0,8.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,1.0,2.0,12.0,1,58.0,3.0,10.0,1.0,1.0,7.0,14.0,1.0,2.0,2.0,7.0,,44.0,42.0,1.0,22.0,9.0,121.5084342,25.03643203,
110,1,21,7,15,2,05中正區,中正區愛國西路42巷附近,0,0.0,1,3,C03,8.0,1.0,5.0,50,14.0,8.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,1.0,2.0,12.0,1,27.0,2.0,9.0,1.0,1.0,7.0,7.0,1.0,10.0,2.0,11.0,,23.0,42.0,1.0,22.0,9.0,121.5084342,25.03643203,
110,2,10,22,32,2,05中正區,中正區愛國西路2號,0,0.0,3,1,C03,6.0,3.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,5.0,2.0,17.0,1,30.0,2.0,8.0,1.0,1.0,7.0,8.0,1.0,10.0,1.0,13.0,,7.0,7.0,1.0,22.0,9.0,121.5158772,25.0346262,
110,2,10,22,32,2,05中正區,中正區愛國西路2號,0,0.0,3,2,C03,6.0,3.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,5.0,2.0,17.0,1,21.0,2.0,8.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,11.0,,16.0,7.0,1.0,22.0,9.0,121.5158772,25.0346262,
110,2,10,22,32,2,05中正區,中正區愛國西路2號,0,0.0,3,3,C03,6.0,3.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,5.0,2.0,17.0,2,40.0,2.0,8.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,11.0,,23.0,7.0,1.0,22.0,9.0,121.5158772,25.0346262,
110,3,5,12,14,2,05中正區,中正區愛國西路16號前,0,0.0,1,1,A04,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,5.0,1.0,17.0,1,49.0,3.0,10.0,1.0,1.0,7.0,1.0,1.0,2.0,2.0,5.0,,19.0,19.0,1.0,22.0,9.0,121.5116227,25.03523749,
110,3,5,12,14,2,05中正區,中正區愛國西路16號前,0,0.0,1,2,C03,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,5.0,1.0,17.0,1,20.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,12.0,,44.0,19.0,1.0,22.0,9.0,121.5116227,25.03523749,
110,7,6,11,47,2,05中正區,中正區愛國西路50-4號,0,0.0,1,1,B03,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,4.0,2.0,17.0,1,69.0,3.0,10.0,1.0,1.0,7.0,10.0,1.0,8.0,1.0,15.0,,7.0,7.0,1.0,22.0,9.0,121.5075982,25.03676967,
110,7,6,11,47,2,05中正區,中正區愛國西路50-4號,0,0.0,1,2,C03,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,4.0,2.0,17.0,1,31.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,14.0,,13.0,7.0,1.0,22.0,9.0,121.5075982,25.03676967,
