發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,2-30日死亡人數,受傷人數,當事人序,車種,天候,光線,道路類別,速限,道路型態,事故位置,路面狀況1,路面狀況2,路面狀況3,道路障礙1,道路障礙2,號誌1,號誌2,車道劃分-分向,車道劃分-分道1,車道劃分-分道2,車道劃分-分道3,事故類型及型態,性別,年齡,受傷程度,主要傷處,保護裝置,行動電話,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位1,車輛撞擊部位2,肇因碼-個別,肇因碼-主要,個人肇逃否,職業,旅次目的,X,Y,Unnamed: 0
110,3,6,13,16,2,05中正區,中正區寶慶路49號,0,0.0,2,1,B03,6.0,3.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,1.0,12.0,1,44.0,3.0,10.0,1.0,1.0,7.0,7.0,1.0,8.0,1.0,4.0,,7.0,7.0,1.0,22.0,9.0,121.5099407,25.04157024,
110,3,6,13,16,2,05中正區,中正區寶慶路49號,0,0.0,2,2,C03,6.0,3.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,1.0,12.0,1,54.0,2.0,7.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,11.0,,44.0,7.0,1.0,22.0,9.0,121.5099407,25.04157024,
110,3,6,13,16,2,05中正區,中正區寶慶路49號,0,0.0,2,3,H02,6.0,3.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,1.0,12.0,2,13.0,2.0,9.0,4.0,5.0,7.0,21.0,8.0,20.0,10.0,15.0,,67.0,7.0,1.0,22.0,9.0,121.5099407,25.04157024,
109,8,31,15,46,2,05中正區,中正區寶慶路45號前,0,0.0,2,1,C03,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,1.0,16.0,1,58.0,2.0,5.0,1.0,1.0,,7.0,11.0,1.0,10.0,1.0,14.0,26.0,26.0,1.0,21.0,1.0,121.5099399,25.04159239,37085.0
109,8,31,15,46,2,05中正區,中正區寶慶路45號前,0,0.0,2,2,C03,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,1.0,16.0,1,20.0,2.0,8.0,1.0,1.0,,7.0,9.0,1.0,10.0,1.0,11.0,23.0,26.0,1.0,21.0,1.0,121.5099399,25.04159239,37086.0
109,8,31,18,50,2,05中正區,中正區寶慶路公車站,0,0.0,1,1,A02,7.0,3.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,4.0,4.0,10.0,4.0,5.0,1.0,9.0,1,60.0,3.0,10.0,1.0,1.0,,7.0,1.0,1.0,2.0,2.0,5.0,36.0,36.0,1.0,22.0,9.0,121.5098868,25.04149753,37133.0
109,8,31,18,50,2,05中正區,中正區寶慶路公車站,0,0.0,1,2,H02,7.0,3.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,4.0,4.0,10.0,4.0,5.0,1.0,9.0,2,67.0,2.0,7.0,4.0,5.0,,7.0,19.0,8.0,20.0,10.0,16.0,67.0,36.0,1.0,22.0,9.0,121.5098868,25.04149753,37134.0
109,11,11,7,19,2,05中正區,中正區寶慶路43號,0,0.0,1,1,H01,8.0,1.0,5.0,10,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,10.0,4.0,5.0,1.0,3.0,2,71.0,2.0,8.0,4.0,5.0,,8.0,16.0,8.0,20.0,10.0,16.0,51.0,51.0,1.0,22.0,9.0,121.5100055,25.04154224,49131.0
109,11,11,7,19,2,05中正區,中正區寶慶路43號,0,0.0,1,2,B03,8.0,1.0,5.0,10,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,10.0,4.0,5.0,1.0,3.0,1,52.0,3.0,10.0,1.0,1.0,,7.0,9.0,1.0,8.0,2.0,4.0,23.0,51.0,1.0,22.0,9.0,121.5100055,25.04154224,49132.0
108,6,21,11,8,2,05中正區,中正區寶慶路63號,0,,1,1,B02,8.0,,,50,14.0,9.0,,,,,,,,,,,,,1,57.0,3.0,,,,,,,,,,,,,,,,,,18378.0
