發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,2-30日死亡人數,受傷人數,當事人序,車種,天候,光線,道路類別,速限,道路型態,事故位置,路面狀況1,路面狀況2,路面狀況3,道路障礙1,道路障礙2,號誌1,號誌2,車道劃分-分向,車道劃分-分道1,車道劃分-分道2,車道劃分-分道3,事故類型及型態,性別,年齡,受傷程度,主要傷處,保護裝置,行動電話,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位1,車輛撞擊部位2,肇因碼-個別,肇因碼-主要,個人肇逃否,職業,旅次目的,X,Y,Unnamed: 0
110,1,11,23,25,2,05中正區,中正區博愛路115號,0,0.0,1,1,B01,6.0,3.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,1.0,1.0,9.0,4.0,5.0,2.0,3.0,1,66.0,3.0,10.0,1.0,1.0,7.0,6.0,1.0,4.0,2.0,8.0,,15.0,15.0,1.0,22.0,9.0,121.5115662,25.0423499,
110,1,11,23,25,2,05中正區,中正區博愛路115號,0,0.0,1,2,H01,6.0,3.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,1.0,1.0,9.0,4.0,5.0,2.0,3.0,2,18.0,2.0,1.0,4.0,5.0,8.0,16.0,8.0,20.0,10.0,16.0,,67.0,15.0,1.0,22.0,9.0,121.5115662,25.0423499,
110,1,18,17,30,2,05中正區,中正區博愛路212巷,0,0.0,2,1,H01,8.0,3.0,5.0,40,14.0,7.0,1.0,5.0,4.0,3.0,5.0,4.0,4.0,1.0,4.0,4.0,2.0,3.0,1,71.0,2.0,5.0,4.0,5.0,8.0,18.0,8.0,20.0,1.0,16.0,,51.0,51.0,1.0,22.0,9.0,121.5106091,25.03451781,
110,1,18,17,30,2,05中正區,中正區博愛路212巷,0,0.0,2,2,C03,8.0,3.0,5.0,40,14.0,7.0,1.0,5.0,4.0,3.0,5.0,4.0,4.0,1.0,4.0,4.0,2.0,3.0,2,33.0,2.0,8.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,11.0,,23.0,51.0,1.0,22.0,9.0,121.5106091,25.03451781,
110,8,17,18,30,2,05中正區,中正區博愛路25號,0,0.0,2,1,C03,8.0,3.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,2.0,13.0,1,59.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,,23.0,23.0,1.0,22.0,9.0,121.5113911,25.04541516,
110,8,17,18,30,2,05中正區,中正區博愛路25號,0,0.0,2,2,C03,8.0,3.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,2.0,13.0,1,44.0,2.0,9.0,1.0,1.0,7.0,7.0,1.0,10.0,2.0,13.0,,7.0,23.0,1.0,22.0,9.0,121.5113911,25.04541516,
110,10,18,14,56,2,05中正區,中正區博愛路138號,0,0.0,1,1,C03,7.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,10.0,4.0,5.0,2.0,17.0,2,48.0,3.0,10.0,1.0,1.0,7.0,2.0,1.0,10.0,2.0,13.0,,42.0,42.0,1.0,22.0,9.0,121.5114963,25.04273288,
110,10,18,14,56,2,05中正區,中正區博愛路138號,0,0.0,1,2,B03,7.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,10.0,4.0,5.0,2.0,17.0,1,33.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,8.0,2.0,2.0,,44.0,42.0,1.0,22.0,9.0,121.5114963,25.04273288,
110,10,18,14,56,2,05中正區,中正區博愛路138號,0,0.0,1,3,C03,7.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,10.0,4.0,5.0,2.0,17.0,2,22.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,14.0,,16.0,42.0,1.0,22.0,9.0,121.5114963,25.04273288,
110,11,14,15,30,2,05中正區,中正區博愛路91號,0,0.0,1,1,A02,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,2.0,9.0,1,33.0,3.0,10.0,1.0,1.0,7.0,3.0,1.0,2.0,2.0,5.0,,23.0,23.0,1.0,22.0,9.0,121.5115754,25.04328406,
110,11,14,15,30,2,05中正區,中正區博愛路91號,0,0.0,1,2,H01,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,2.0,9.0,1,79.0,2.0,1.0,4.0,5.0,8.0,16.0,8.0,20.0,10.0,16.0,,67.0,23.0,1.0,22.0,9.0,121.5115754,25.04328406,
109,3,13,18,20,2,05中正區,中正區博愛路1段北門前,0,0.0,1,1,A02,8.0,3.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,10.0,4.0,5.0,2.0,9.0,1,61.0,3.0,10.0,1.0,1.0,,7.0,9.0,1.0,2.0,2.0,1.0,43.0,43.0,1.0,22.0,9.0,121.5112467,25.04739856,10878.0
109,3,13,18,20,2,05中正區,中正區博愛路1段北門前,0,0.0,1,2,H02,8.0,3.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,10.0,4.0,5.0,2.0,9.0,2,75.0,2.0,7.0,1.0,1.0,,7.0,20.0,8.0,20.0,10.0,16.0,67.0,43.0,1.0,22.0,9.0,121.5112467,25.04739856,10881.0
109,4,10,11,16,2,05中正區,中正區博愛路25號,0,0.0,1,1,A02,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,10.0,4.0,5.0,2.0,17.0,1,61.0,3.0,10.0,3.0,4.0,,7.0,15.0,1.0,2.0,2.0,5.0,23.0,23.0,1.0,22.0,9.0,121.5113998,25.04526159,14784.0
