發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,2-30日死亡人數,受傷人數,當事人序,車種,天候,光線,道路類別,速限,道路型態,事故位置,路面狀況1,路面狀況2,路面狀況3,道路障礙1,道路障礙2,號誌1,號誌2,車道劃分-分向,車道劃分-分道1,車道劃分-分道2,車道劃分-分道3,事故類型及型態,性別,年齡,受傷程度,主要傷處,保護裝置,行動電話,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位1,車輛撞擊部位2,肇因碼-個別,肇因碼-主要,個人肇逃否,職業,旅次目的,X,Y,Unnamed: 0
110,1,5,9,45,2,05中正區,中正區重慶南路1段100號,0,0.0,2,1,H01,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,5.0,4.0,5.0,2.0,9.0,1,70.0,2.0,9.0,4.0,1.0,8.0,16.0,8.0,20.0,10.0,16.0,,67.0,67.0,1.0,22.0,9.0,121.5131825,25.04236618,
110,1,5,9,45,2,05中正區,中正區重慶南路1段100號,0,0.0,2,2,C03,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,5.0,4.0,5.0,2.0,9.0,1,38.0,2.0,1.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,12.0,,44.0,67.0,1.0,22.0,9.0,121.5131825,25.04236618,
110,1,5,9,45,2,05中正區,中正區重慶南路1段100號,0,0.0,2,3,B03,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,5.0,4.0,5.0,2.0,9.0,2,58.0,4.0,11.0,3.0,4.0,7.0,21.0,7.0,19.0,11.0,15.0,,43.0,67.0,2.0,22.0,9.0,121.5131825,25.04236618,
110,1,11,14,6,2,05中正區,中正區重慶南路1段39號,0,0.0,1,1,B03,6.0,1.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,2.0,12.0,2,59.0,3.0,10.0,1.0,1.0,7.0,1.0,1.0,8.0,2.0,8.0,,19.0,19.0,1.0,22.0,9.0,121.5135937,25.04515285,
110,1,11,14,6,2,05中正區,中正區重慶南路1段39號,0,0.0,1,2,C03,6.0,1.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,2.0,12.0,1,36.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,12.0,,44.0,19.0,1.0,22.0,9.0,121.5135937,25.04515285,
110,1,11,14,6,2,05中正區,中正區重慶南路1段39號,0,0.0,1,3,C03,6.0,1.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,2.0,12.0,1,31.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,,44.0,19.0,1.0,22.0,9.0,121.5135937,25.04515285,
110,1,27,11,58,2,05中正區,中正區重慶南路1段88號前,0,0.0,1,1,B03,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,2.0,1.0,9.0,4.0,5.0,1.0,13.0,1,39.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,4.0,2.0,5.0,,43.0,43.0,1.0,22.0,9.0,121.5132587,25.04298946,
110,1,27,11,58,2,05中正區,中正區重慶南路1段88號前,0,0.0,1,2,C03,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,2.0,1.0,9.0,4.0,5.0,1.0,13.0,1,22.0,2.0,8.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,13.0,,43.0,43.0,1.0,22.0,9.0,121.5132587,25.04298946,
110,3,3,8,5,2,05中正區,中正區重慶南路1段10號,0,0.0,1,1,C03,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,10.0,4.0,5.0,2.0,9.0,2,46.0,4.0,11.0,3.0,4.0,7.0,15.0,7.0,19.0,11.0,15.0,,23.0,23.0,2.0,22.0,9.0,121.5132153,25.0465816,
110,3,3,8,5,2,05中正區,中正區重慶南路1段10號,0,0.0,1,2,H02,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,10.0,4.0,5.0,2.0,9.0,2,64.0,2.0,8.0,4.0,5.0,7.0,20.0,8.0,20.0,9.0,16.0,,67.0,23.0,1.0,2.0,1.0,121.5132153,25.0465816,
