發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,2-30日死亡人數,受傷人數,當事人序,車種,天候,光線,道路類別,速限,道路型態,事故位置,路面狀況1,路面狀況2,路面狀況3,道路障礙1,道路障礙2,號誌1,號誌2,車道劃分-分向,車道劃分-分道1,車道劃分-分道2,車道劃分-分道3,事故類型及型態,性別,年齡,受傷程度,主要傷處,保護裝置,行動電話,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位1,車輛撞擊部位2,肇因碼-個別,肇因碼-主要,個人肇逃否,職業,旅次目的,X,Y,Unnamed: 0
110,1,27,13,45,2,05中正區,中正區貴陽街1段09號停車格旁,0,0.0,1,1,C03,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,5.0,5.0,5.0,2.0,9.0,1,37.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,15.0,,44.0,44.0,1.0,22.0,9.0,121.5143328,25.03862132,
110,1,27,13,45,2,05中正區,中正區貴陽街1段09號停車格旁,0,0.0,1,2,H02,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,5.0,5.0,5.0,2.0,9.0,2,41.0,3.0,10.0,4.0,1.0,7.0,20.0,8.0,20.0,10.0,16.0,,60.0,44.0,1.0,22.0,9.0,121.5143328,25.03862132,
110,1,27,13,45,2,05中正區,中正區貴陽街1段09號停車格旁,0,0.0,1,3,C03,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,5.0,5.0,5.0,2.0,9.0,1,20.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,,44.0,44.0,1.0,22.0,9.0,121.5143328,25.03862132,
110,5,12,22,38,2,05中正區,中正區貴陽街1段弘道國中側門,0,0.0,1,1,B03,8.0,3.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,9.0,5.0,5.0,2.0,12.0,2,59.0,3.0,10.0,3.0,1.0,7.0,9.0,1.0,8.0,2.0,2.0,,44.0,44.0,1.0,22.0,4.0,121.51554,25.03849266,
110,5,12,22,38,2,05中正區,中正區貴陽街1段弘道國中側門,0,0.0,1,2,C03,8.0,3.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,9.0,5.0,5.0,2.0,12.0,1,18.0,2.0,9.0,1.0,4.0,7.0,9.0,1.0,10.0,2.0,14.0,,23.0,44.0,1.0,18.0,5.0,121.51554,25.03849266,
109,2,13,17,15,2,05中正區,中正區貴陽街1段56號,0,0.0,1,1,B03,7.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,5.0,4.0,5.0,2.0,16.0,1,42.0,3.0,10.0,1.0,1.0,,7.0,6.0,1.0,8.0,2.0,2.0,9.0,9.0,1.0,22.0,9.0,121.5093765,25.03903691,6524.0
109,2,13,17,15,2,05中正區,中正區貴陽街1段56號,0,0.0,1,2,C03,7.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,5.0,4.0,5.0,2.0,16.0,1,21.0,2.0,9.0,1.0,1.0,,7.0,9.0,1.0,10.0,2.0,11.0,42.0,9.0,1.0,22.0,9.0,121.5093765,25.03903691,6525.0
109,5,18,17,22,2,05中正區,中正區貴陽街1段1號,0,0.0,1,1,B03,7.0,1.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,4.0,4.0,10.0,5.0,5.0,2.0,12.0,1,20.0,3.0,10.0,3.0,1.0,,7.0,5.0,1.0,8.0,2.0,4.0,44.0,44.0,1.0,22.0,9.0,121.5162881,25.03833075,20716.0
109,5,18,17,22,2,05中正區,中正區貴陽街1段1號,0,0.0,1,2,C03,7.0,1.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,4.0,4.0,10.0,5.0,5.0,2.0,12.0,1,44.0,2.0,7.0,1.0,1.0,,7.0,9.0,1.0,10.0,2.0,12.0,26.0,44.0,1.0,22.0,9.0,121.5162881,25.03833075,20717.0
109,7,9,18,15,2,05中正區,中正區貴陽街1段243號,0,0.0,2,1,B03,8.0,2.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,5.0,4.0,5.0,1.0,12.0,1,55.0,3.0,10.0,1.0,1.0,,7.0,5.0,1.0,8.0,1.0,8.0,26.0,26.0,1.0,22.0,9.0,121.5080304,25.0391413,28636.0
109,7,9,18,15,2,05中正區,中正區貴陽街1段243號,0,0.0,2,2,C03,8.0,2.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,5.0,4.0,5.0,1.0,12.0,1,51.0,2.0,9.0,1.0,1.0,,7.0,4.0,1.0,10.0,1.0,12.0,44.0,26.0,1.0,22.0,9.0,121.5080304,25.0391413,28637.0
109,7,9,18,15,2,05中正區,中正區貴陽街1段243號,0,0.0,2,3,H02,8.0,2.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,5.0,4.0,5.0,1.0,12.0,2,50.0,2.0,9.0,1.0,5.0,,7.0,21.0,8.0,20.0,10.0,16.0,67.0,26.0,1.0,22.0,9.0,121.5080304,25.0391413,28638.0
109,9,20,17,37,2,05中正區,中正區貴陽街1段1號,0,0.0,1,1,B03,7.0,1.0,5.0,50,15.0,9.0,1.0,5.0,4.0,5.0,7.0,1.0,1.0,1.0,4.0,5.0,2.0,16.0,1,34.0,3.0,10.0,1.0,1.0,,7.0,6.0,1.0,8.0,2.0,2.0,9.0,9.0,1.0,22.0,9.0,121.5172249,25.03812458,40217.0
109,9,20,17,37,2,05中正區,中正區貴陽街1段1號,0,0.0,1,2,C03,7.0,1.0,5.0,50,15.0,9.0,1.0,5.0,4.0,5.0,7.0,1.0,1.0,1.0,4.0,5.0,2.0,16.0,1,19.0,2.0,9.0,1.0,1.0,,7.0,9.0,1.0,10.0,2.0,14.0,13.0,9.0,1.0,22.0,9.0,121.5172249,25.03812458,40218.0
109,9,20,17,37,2,05中正區,中正區貴陽街1段1號,0,0.0,1,3,C03,7.0,1.0,5.0,50,15.0,9.0,1.0,5.0,4.0,5.0,7.0,1.0,1.0,1.0,4.0,5.0,2.0,16.0,1,72.0,3.0,10.0,1.0,1.0,,7.0,14.0,1.0,10.0,2.0,11.0,44.0,9.0,1.0,22.0,9.0,121.5172249,25.03812458,40219.0
109,10,31,11,20,2,05中正區,中正區貴陽街1段外交部,0,0.0,2,1,H01,8.0,1.0,5.0,0,14.0,19.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,5.0,4.0,5.0,1.0,3.0,1,62.0,2.0,9.0,4.0,5.0,,8.0,16.0,8.0,20.0,1.0,15.0,53.0,53.0,1.0,22.0,9.0,121.51556,25.03851094,47149.0
109,10,31,11,20,2,05中正區,中正區貴陽街1段外交部,0,0.0,2,2,C03,8.0,1.0,5.0,0,14.0,19.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,5.0,4.0,5.0,1.0,3.0,1,21.0,2.0,9.0,1.0,1.0,,7.0,9.0,1.0,10.0,1.0,14.0,23.0,53.0,1.0,22.0,9.0,121.51556,25.03851094,47150.0
109,12,14,13,30,2,05中正區,中正區貴陽街1段第112號燈桿,0,0.0,1,1,F01,8.0,1.0,5.0,30,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,5.0,4.0,5.0,2.0,17.0,1,85.0,3.0,10.0,4.0,5.0,,7.0,8.0,8.0,20.0,2.0,16.0,7.0,7.0,1.0,22.0,9.0,121.5124131,25.0387959,55490.0
109,12,14,13,30,2,05中正區,中正區貴陽街1段第112號燈桿,0,0.0,1,2,C03,8.0,1.0,5.0,30,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,5.0,4.0,5.0,2.0,17.0,2,40.0,2.0,9.0,1.0,1.0,,7.0,9.0,1.0,10.0,2.0,14.0,44.0,7.0,1.0,22.0,9.0,121.5124131,25.0387959,55491.0
108,9,24,9,40,2,05中正區,中正區貴陽街1段120號前,0,,1,1,C03,8.0,,,50,14.0,9.0,,,,,,,,,,,,,1,19.0,2.0,,,,,,,,,,,,,,,,,,18913.0
108,9,24,9,40,2,05中正區,中正區貴陽街1段120號前,0,,1,2,B01,8.0,,,50,14.0,9.0,,,,,,,,,,,,,1,53.0,3.0,,,,,,,,,,,,,,,,,,18914.0
108,10,2,10,46,2,05中正區,中正區貴陽街1段120號,0,,2,1,B03,8.0,,,50,14.0,9.0,,,,,,,,,,,,,1,65.0,3.0,,,,,,,,,,,,,,,,,,19265.0
108,10,2,10,46,2,05中正區,中正區貴陽街1段120號,0,,2,2,C03,8.0,,,50,14.0,9.0,,,,,,,,,,,,,1,28.0,2.0,,,,,,,,,,,,,,,,,,19266.0
108,10,2,10,46,2,05中正區,中正區貴陽街1段120號,0,,2,3,H02,8.0,,,50,14.0,9.0,,,,,,,,,,,,,2,25.0,2.0,,,,,,,,,,,,,,,,,,19267.0
108,2,27,11,13,2,05中正區,中正區貴陽街1段外交部東側停車場大門,0,,1,1,B03,8.0,,,50,14.0,9.0,,,,,,,,,,,,,2,53.0,3.0,,,,,,,,,,,,,,,,,,19518.0
108,2,27,11,13,2,05中正區,中正區貴陽街1段外交部東側停車場大門,0,,1,2,C02,8.0,,,50,14.0,9.0,,,,,,,,,,,,,1,26.0,2.0,,,,,,,,,,,,,,,,,,19519.0
108,5,9,15,2,2,05中正區,中正區貴陽街1段243號,0,,1,1,B03,6.0,,,50,14.0,9.0,,,,,,,,,,,,,1,21.0,3.0,,,,,,,,,,,,,,,,,,19536.0
