發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,2-30日死亡人數,受傷人數,當事人序,車種,天候,光線,道路類別,速限,道路型態,事故位置,路面狀況1,路面狀況2,路面狀況3,道路障礙1,道路障礙2,號誌1,號誌2,車道劃分-分向,車道劃分-分道1,車道劃分-分道2,車道劃分-分道3,事故類型及型態,性別,年齡,受傷程度,主要傷處,保護裝置,行動電話,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位1,車輛撞擊部位2,肇因碼-個別,肇因碼-主要,個人肇逃否,職業,旅次目的,X,Y,Unnamed: 0
110,1,19,19,26,2,05中正區,中正區衡陽路41號,0,0.0,1,1,C03,8.0,3.0,5.0,50,14.0,9.0,1.0,5.0,4.0,4.0,7.0,4.0,4.0,10.0,4.0,5.0,1.0,24.0,2,22.0,2.0,9.0,3.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,,23.0,23.0,1.0,22.0,9.0,121.5125226,25.04232784,
110,1,19,19,26,2,05中正區,中正區衡陽路41號,0,0.0,1,2,,8.0,3.0,5.0,50,14.0,9.0,1.0,5.0,4.0,4.0,7.0,4.0,4.0,10.0,4.0,5.0,1.0,24.0,3,,,,,,,,,,,,,61.0,23.0,1.0,,,121.5125226,25.04232784,
110,2,10,12,7,2,05中正區,中正區衡陽路91號,0,0.0,1,1,B01,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,10.0,4.0,5.0,1.0,9.0,1,51.0,3.0,10.0,3.0,4.0,7.0,15.0,1.0,4.0,2.0,15.0,,43.0,43.0,1.0,22.0,9.0,121.5098617,25.04223064,
110,2,10,12,7,2,05中正區,中正區衡陽路91號,0,0.0,1,2,H01,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,10.0,4.0,5.0,1.0,9.0,2,80.0,2.0,8.0,4.0,5.0,8.0,20.0,8.0,20.0,10.0,16.0,,67.0,43.0,1.0,22.0,9.0,121.5098617,25.04223064,
110,5,12,17,18,2,05中正區,中正區衡陽路91號,0,0.0,2,1,C03,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,10.0,4.0,5.0,2.0,17.0,1,48.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,,23.0,23.0,1.0,22.0,9.0,121.51045,25.04221229,
110,5,12,17,18,2,05中正區,中正區衡陽路91號,0,0.0,2,2,F01,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,10.0,4.0,5.0,2.0,17.0,2,63.0,2.0,9.0,4.0,1.0,7.0,7.0,8.0,20.0,2.0,16.0,,7.0,23.0,1.0,22.0,9.0,121.51045,25.04221229,
109,5,18,14,47,2,05中正區,中正區衡陽路63號,0,0.0,2,1,B01,7.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,2.0,1.0,9.0,4.0,5.0,2.0,9.0,1,67.0,3.0,10.0,1.0,1.0,,7.0,14.0,1.0,4.0,2.0,2.0,38.0,38.0,1.0,22.0,9.0,121.5118068,25.04229276,20708.0
109,5,18,14,47,2,05中正區,中正區衡陽路63號,0,0.0,2,2,H02,7.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,2.0,1.0,9.0,4.0,5.0,2.0,9.0,2,73.0,3.0,10.0,4.0,5.0,,7.0,21.0,8.0,20.0,10.0,16.0,67.0,38.0,1.0,22.0,9.0,121.5118068,25.04229276,20709.0
109,5,18,14,47,2,05中正區,中正區衡陽路63號,0,0.0,2,3,C03,7.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,2.0,1.0,9.0,4.0,5.0,2.0,9.0,1,57.0,2.0,7.0,1.0,1.0,,7.0,9.0,1.0,10.0,2.0,14.0,44.0,38.0,1.0,22.0,9.0,121.5118068,25.04229276,20710.0
109,5,18,14,47,2,05中正區,中正區衡陽路63號,0,0.0,2,4,H02,7.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,2.0,1.0,9.0,4.0,5.0,2.0,9.0,2,53.0,2.0,1.0,1.0,1.0,,7.0,21.0,8.0,20.0,10.0,16.0,67.0,38.0,1.0,22.0,9.0,121.5118068,25.04229276,20711.0
109,8,23,7,30,2,05中正區,中正區衡陽路81號,0,0.0,1,1,F01,6.0,1.0,5.0,25,15.0,20.0,2.0,4.0,4.0,5.0,7.0,4.0,4.0,10.0,5.0,5.0,1.0,9.0,1,69.0,3.0,10.0,4.0,5.0,,7.0,9.0,8.0,20.0,2.0,16.0,23.0,23.0,1.0,22.0,9.0,121.5109214,25.04230559,35739.0
109,8,23,7,30,2,05中正區,中正區衡陽路81號,0,0.0,1,2,H01,6.0,1.0,5.0,25,15.0,20.0,2.0,4.0,4.0,5.0,7.0,4.0,4.0,10.0,5.0,5.0,1.0,9.0,2,79.0,2.0,1.0,4.0,5.0,,8.0,17.0,8.0,20.0,10.0,16.0,67.0,23.0,1.0,22.0,9.0,121.5109214,25.04230559,35740.0
109,9,18,12,23,2,05中正區,中正區衡陽路79號,0,0.0,1,1,A02,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,10.0,5.0,5.0,2.0,9.0,1,50.0,3.0,10.0,1.0,1.0,,7.0,7.0,1.0,2.0,2.0,4.0,43.0,43.0,1.0,22.0,9.0,121.5121102,25.04233839,39873.0
109,9,18,12,23,2,05中正區,中正區衡陽路79號,0,0.0,1,2,H02,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,10.0,5.0,5.0,2.0,9.0,1,95.0,2.0,9.0,4.0,5.0,,7.0,19.0,8.0,20.0,10.0,16.0,67.0,43.0,1.0,22.0,9.0,121.5121102,25.04233839,39874.0
109,10,4,13,40,2,05中正區,中正區衡陽路43號,0,0.0,1,1,A02,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,2.0,9.0,1,54.0,3.0,10.0,1.0,1.0,,7.0,1.0,1.0,2.0,2.0,2.0,36.0,36.0,1.0,22.0,9.0,121.5120716,25.04227464,42484.0
109,10,4,13,40,2,05中正區,中正區衡陽路43號,0,0.0,1,2,H02,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,2.0,9.0,2,71.0,2.0,9.0,4.0,1.0,,7.0,19.0,8.0,20.0,10.0,16.0,67.0,36.0,1.0,22.0,9.0,121.5120716,25.04227464,42485.0
109,11,9,14,33,2,05中正區,中正區衡陽路87號,0,0.0,1,1,C03,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,1.0,3.0,1,46.0,2.0,9.0,1.0,1.0,,7.0,9.0,1.0,10.0,1.0,14.0,42.0,42.0,1.0,21.0,1.0,121.5105947,25.04226354,48823.0
109,11,9,14,33,2,05中正區,中正區衡陽路87號,0,0.0,1,2,H01,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,1.0,3.0,1,59.0,3.0,10.0,4.0,5.0,,8.0,16.0,8.0,20.0,10.0,16.0,67.0,42.0,1.0,20.0,5.0,121.5105947,25.04226354,48824.0
109,11,29,11,40,2,05中正區,(衡陽路118號前),0,0.0,1,1,C03,7.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,1.0,1.0,9.0,4.0,5.0,2.0,12.0,2,79.0,2.0,8.0,1.0,1.0,,7.0,5.0,1.0,10.0,2.0,13.0,8.0,8.0,1.0,22.0,9.0,121.5097065,25.04214726,52692.0
109,11,29,11,40,2,05中正區,(衡陽路118號前),0,0.0,1,2,C03,7.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,1.0,1.0,9.0,4.0,5.0,2.0,12.0,1,25.0,3.0,10.0,1.0,1.0,,7.0,9.0,1.0,10.0,2.0,11.0,44.0,8.0,1.0,22.0,9.0,121.5097065,25.04214726,52693.0
109,12,2,11,10,2,05中正區,中正區衡陽路37號,0,0.0,1,1,A02,7.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,2.0,9.0,1,26.0,3.0,10.0,1.0,1.0,,7.0,1.0,1.0,2.0,1.0,15.0,43.0,43.0,1.0,22.0,9.0,121.5124904,25.04232133,53257.0
109,12,2,11,10,2,05中正區,中正區衡陽路37號,0,0.0,1,2,H02,7.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,2.0,9.0,2,88.0,2.0,1.0,4.0,5.0,,7.0,20.0,8.0,20.0,10.0,16.0,67.0,43.0,1.0,22.0,9.0,121.5124904,25.04232133,53259.0
109,12,16,13,47,2,05中正區,中正區衡陽路87號旁,0,0.0,1,1,C03,6.0,1.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,1.0,13.0,1,33.0,2.0,8.0,1.0,1.0,,7.0,9.0,1.0,10.0,1.0,11.0,43.0,43.0,1.0,21.0,1.0,121.5106467,25.04229095,55935.0
109,12,16,13,47,2,05中正區,中正區衡陽路87號旁,0,0.0,1,2,B02,6.0,1.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,1.0,13.0,1,42.0,3.0,10.0,1.0,1.0,,7.0,12.0,1.0,8.0,1.0,3.0,43.0,43.0,1.0,21.0,1.0,121.5106467,25.04229095,55936.0
108,6,5,21,43,2,05中正區,中正區衡陽路62號,0,,1,2,C03,7.0,,,50,14.0,9.0,,,,,,,,,,,,,1,30.0,2.0,,,,,,,,,,,,,,,,,,18162.0
108,6,5,21,43,2,05中正區,中正區衡陽路62號,0,,1,1,B01,7.0,,,50,14.0,9.0,,,,,,,,,,,,,1,65.0,3.0,,,,,,,,,,,,,,,,,,18225.0
108,8,27,22,25,2,05中正區,中正區衡陽路27號,0,,1,1,B01,8.0,,,50,14.0,9.0,,,,,,,,,,,,,1,52.0,3.0,,,,,,,,,,,,,,,,,,18582.0
108,8,27,22,25,2,05中正區,中正區衡陽路27號,0,,1,2,C03,8.0,,,50,14.0,9.0,,,,,,,,,,,,,2,34.0,2.0,,,,,,,,,,,,,,,,,,18583.0
108,8,31,22,8,2,05中正區,中正區衡陽路26號,0,,1,1,B03,8.0,,,50,14.0,9.0,,,,,,,,,,,,,1,48.0,3.0,,,,,,,,,,,,,,,,,,18718.0
108,8,31,22,8,2,05中正區,中正區衡陽路26號,0,,1,2,C03,8.0,,,50,14.0,9.0,,,,,,,,,,,,,1,69.0,2.0,,,,,,,,,,,,,,,,,,18719.0
108,8,31,22,8,2,05中正區,中正區衡陽路26號,0,,1,3,B01,8.0,,,50,14.0,9.0,,,,,,,,,,,,,1,50.0,3.0,,,,,,,,,,,,,,,,,,18720.0
108,10,18,19,16,2,05中正區,中正區衡陽路83號,0,,1,1,A02,8.0,,,50,14.0,9.0,,,,,,,,,,,,,2,47.0,3.0,,,,,,,,,,,,,,,,,,19332.0
108,10,18,19,16,2,05中正區,中正區衡陽路83號,0,,1,2,H02,8.0,,,50,14.0,9.0,,,,,,,,,,,,,2,34.0,2.0,,,,,,,,,,,,,,,,,,19333.0
108,3,14,22,10,2,05中正區,中正區衡陽路34號,0,,1,1,B03,8.0,,,50,14.0,9.0,,,,,,,,,,,,,1,50.0,3.0,,,,,,,,,,,,,,,,,,20532.0
108,3,14,22,10,2,05中正區,中正區衡陽路34號,0,,1,2,C03,8.0,,,50,14.0,9.0,,,,,,,,,,,,,2,23.0,2.0,,,,,,,,,,,,,,,,,,20533.0
108,11,18,21,50,2,05中正區,中正區衡陽路20號,0,,1,1,B03,8.0,,,50,14.0,9.0,,,,,,,,,,,,,1,55.0,3.0,,,,,,,,,,,,,,,,,,20856.0
108,11,18,21,50,2,05中正區,中正區衡陽路20號,0,,1,2,H01,8.0,,,50,14.0,9.0,,,,,,,,,,,,,2,22.0,2.0,,,,,,,,,,,,,,,,,,20857.0
108,11,24,18,45,2,05中正區,中正區衡陽路91號,0,,1,2,H01,8.0,,,0,14.0,20.0,,,,,,,,,,,,,1,22.0,2.0,,,,,,,,,,,,,,,,,,21199.0
108,11,24,18,45,2,05中正區,中正區衡陽路91號,0,,1,1,A05,8.0,,,0,14.0,20.0,,,,,,,,,,,,,1,38.0,4.0,,,,,,,,,,,,,,,,,,21200.0
107,4,12,19,18,2,05中正區,中正區衡陽路130號,0,,1,1,C03,7.0,,,50,15.0,9.0,,,,,,,,,,,,,1,51.0,3.0,,,,,,,,,,,,,,,,,,17164.0
107,4,12,19,18,2,05中正區,中正區衡陽路130號,0,,1,2,C03,7.0,,,50,15.0,9.0,,,,,,,,,,,,,2,23.0,2.0,,,,,,,,,,,,,,,,,,17165.0
107,5,25,14,40,2,05中正區,中正區衡陽路7號,0,,1,1,C03,8.0,,,50,14.0,9.0,,,,,,,,,,,,,2,25.0,3.0,,,,,,,,,,,,,,,,,,17653.0
107,5,25,14,40,2,05中正區,中正區衡陽路7號,0,,1,2,H01,8.0,,,50,14.0,9.0,,,,,,,,,,,,,2,77.0,2.0,,,,,,,,,,,,,,,,,,17654.0
107,11,30,21,40,2,05中正區,中正區衡陽路103號,0,,2,1,H01,8.0,,,0,11.0,9.0,,,,,,,,,,,,,2,40.0,2.0,,,,,,,,,,,,,,,,,,19203.0
107,11,30,21,40,2,05中正區,中正區衡陽路103號,0,,2,2,C03,8.0,,,0,11.0,9.0,,,,,,,,,,,,,1,24.0,2.0,,,,,,,,,,,,,,,,,,19204.0
106,3,3,18,35,2,05中正區,中正區衡陽路91號,0,,1,1,A04,7.0,,,50,14.0,9.0,,,,,,,,,,,,,1,55.0,3.0,,,,,,,,,,,,,,,,,,17537.0
106,3,3,18,35,2,05中正區,中正區衡陽路91號,0,,1,2,H02,7.0,,,50,14.0,9.0,,,,,,,,,,,,,1,85.0,2.0,,,,,,,,,,,,,,,,,,17538.0
106,4,26,13,40,2,05中正區,中正區衡陽路36號,0,,1,1,H01,8.0,,,0,14.0,9.0,,,,,,,,,,,,,2,63.0,2.0,,,,,,,,,,,,,,,,,,17896.0
106,4,26,13,40,2,05中正區,中正區衡陽路36號,0,,1,2,B12,8.0,,,0,14.0,9.0,,,,,,,,,,,,,1,26.0,3.0,,,,,,,,,,,,,,,,,,17897.0
106,5,11,20,10,2,05中正區,中正區衡陽路47號,0,,1,1,A04,7.0,,,0,14.0,9.0,,,,,,,,,,,,,1,49.0,3.0,,,,,,,,,,,,,,,,,,18017.0
106,5,11,20,10,2,05中正區,中正區衡陽路47號,0,,1,2,H02,7.0,,,0,14.0,9.0,,,,,,,,,,,,,2,77.0,2.0,,,,,,,,,,,,,,,,,,18018.0
106,6,6,20,0,2,05中正區,中正區衡陽路57號前,0,,1,1,A02,7.0,,,50,14.0,9.0,,,,,,,,,,,,,1,52.0,3.0,,,,,,,,,,,,,,,,,,18226.0
106,6,6,20,0,2,05中正區,中正區衡陽路57號前,0,,1,2,H02,7.0,,,50,14.0,9.0,,,,,,,,,,,,,2,60.0,2.0,,,,,,,,,,,,,,,,,,18227.0
