發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,2-30日死亡人數,受傷人數,當事人序,車種,天候,光線,道路類別,速限,道路型態,事故位置,路面狀況1,路面狀況2,路面狀況3,道路障礙1,道路障礙2,號誌1,號誌2,車道劃分-分向,車道劃分-分道1,車道劃分-分道2,車道劃分-分道3,事故類型及型態,性別,年齡,受傷程度,主要傷處,保護裝置,行動電話,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位1,車輛撞擊部位2,肇因碼-個別,肇因碼-主要,個人肇逃否,職業,旅次目的,X,Y,Unnamed: 0
110,1,8,10,10,2,05中正區,中正區延平南路156號,0,0.0,1,1,B12,6.0,1.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,2.0,12.0,1,41.0,3.0,10.0,1.0,1.0,7.0,11.0,1.0,8.0,2.0,4.0,,10.0,10.0,1.0,22.0,9.0,121.5085126,25.03821118,
110,1,8,10,10,2,05中正區,中正區延平南路156號,0,0.0,1,2,C03,6.0,1.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,2.0,12.0,1,21.0,2.0,8.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,,44.0,10.0,1.0,22.0,9.0,121.5085126,25.03821118,
110,1,12,17,15,2,05中正區,中正區延平南路270號前,0,0.0,1,1,C03,8.0,1.0,5.0,50,11.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,5.0,5.0,5.0,2.0,12.0,2,63.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,12.0,,17.0,17.0,1.0,22.0,9.0,121.5072739,25.03227275,
110,1,12,17,15,2,05中正區,中正區延平南路270號前,0,0.0,1,2,C03,8.0,1.0,5.0,50,11.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,5.0,5.0,5.0,2.0,12.0,1,37.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,14.0,,17.0,17.0,1.0,22.0,9.0,121.5072739,25.03227275,
110,4,25,22,40,2,05中正區,中正區延平南路167號,0,0.0,1,1,B01,8.0,3.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,5.0,4.0,5.0,2.0,16.0,1,65.0,3.0,10.0,1.0,1.0,7.0,5.0,1.0,4.0,2.0,8.0,,8.0,8.0,1.0,22.0,9.0,121.5076765,25.0352713,
110,4,25,22,40,2,05中正區,中正區延平南路167號,0,0.0,1,2,C04,8.0,3.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,5.0,4.0,5.0,2.0,16.0,2,41.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,8.0,2.0,14.0,,44.0,8.0,1.0,22.0,9.0,121.5076765,25.0352713,
110,4,27,21,20,2,05中正區,中正區延平南路171巷4號,0,0.0,2,1,C03,8.0,3.0,5.0,30,4.0,1.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,10.0,5.0,5.0,2.0,15.0,1,51.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,11.0,,6.0,6.0,1.0,22.0,9.0,121.5080257,25.03477324,
110,4,27,21,20,2,05中正區,中正區延平南路171巷4號,0,0.0,2,2,F01,8.0,3.0,5.0,30,4.0,1.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,10.0,5.0,5.0,2.0,15.0,2,48.0,2.0,9.0,4.0,5.0,7.0,9.0,8.0,20.0,1.0,16.0,,42.0,6.0,1.0,22.0,9.0,121.5080257,25.03477324,
110,4,27,21,20,2,05中正區,中正區延平南路171巷4號,0,0.0,2,3,H02,8.0,3.0,5.0,30,4.0,1.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,10.0,5.0,5.0,2.0,15.0,2,14.0,4.0,11.0,1.0,5.0,7.0,20.0,8.0,20.0,10.0,16.0,,67.0,6.0,1.0,22.0,9.0,121.5080257,25.03477324,
110,6,1,11,20,2,05中正區,中正區延平南路21號,0,0.0,1,1,C03,8.0,1.0,5.0,0,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,10.0,5.0,5.0,2.0,17.0,1,36.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,14.0,,23.0,23.0,1.0,22.0,9.0,121.5106512,25.04577412,
