發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,2-30日死亡人數,受傷人數,當事人序,車種,天候,光線,道路類別,速限,道路型態,事故位置,路面狀況1,路面狀況2,路面狀況3,道路障礙1,道路障礙2,號誌1,號誌2,車道劃分-分向,車道劃分-分道1,車道劃分-分道2,車道劃分-分道3,事故類型及型態,性別,年齡,受傷程度,主要傷處,保護裝置,行動電話,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位1,車輛撞擊部位2,肇因碼-個別,肇因碼-主要,個人肇逃否,職業,旅次目的,X,Y,Unnamed: 0
110,1,27,12,15,2,05中正區,中正區中華路1段77號,0,0.0,1,1,C03,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,5.0,2.0,12.0,2,39.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,10.0,9.0,12.0,,23.0,23.0,1.0,22.0,9.0,121.5074624,25.03893369,
110,1,27,12,15,2,05中正區,中正區中華路1段77號,0,0.0,1,2,C03,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,5.0,2.0,12.0,1,69.0,2.0,5.0,1.0,1.0,7.0,9.0,1.0,10.0,9.0,14.0,,44.0,23.0,1.0,22.0,9.0,121.5074624,25.03893369,
110,1,28,13,37,2,05中正區,中正區中華路1段65號,0,0.0,1,1,B03,6.0,1.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,5.0,2.0,12.0,1,50.0,3.0,10.0,1.0,1.0,7.0,7.0,1.0,8.0,2.0,15.0,,44.0,44.0,1.0,22.0,9.0,121.508267,25.04134899,
110,1,28,13,37,2,05中正區,中正區中華路1段65號,0,0.0,1,2,C03,6.0,1.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,5.0,2.0,12.0,1,48.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,12.0,,44.0,44.0,1.0,22.0,9.0,121.508267,25.04134899,
110,1,28,13,37,2,05中正區,中正區中華路1段65號,0,0.0,1,3,C03,6.0,1.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,5.0,2.0,12.0,1,29.0,2.0,7.0,1.0,1.0,7.0,7.0,1.0,10.0,2.0,14.0,,7.0,44.0,1.0,22.0,9.0,121.508267,25.04134899,
110,1,28,13,37,2,05中正區,中正區中華路1段65號,0,0.0,1,4,,6.0,1.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,5.0,2.0,12.0,3,,,,,,,,,,,,,67.0,44.0,1.0,,,121.508267,25.04134899,
110,1,28,13,37,2,05中正區,中正區中華路1段65號,0,0.0,1,5,F01,6.0,1.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,5.0,2.0,12.0,4,,4.0,11.0,3.0,4.0,7.0,21.0,7.0,19.0,11.0,15.0,,43.0,44.0,2.0,22.0,9.0,121.508267,25.04134899,
110,2,3,12,19,2,05中正區,中正區中華路1段65號,0,0.0,1,1,C03,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,5.0,2.0,12.0,1,18.0,2.0,8.0,1.0,1.0,7.0,7.0,1.0,10.0,1.0,14.0,,7.0,7.0,1.0,18.0,5.0,121.508166,25.04095066,
110,2,3,12,19,2,05中正區,中正區中華路1段65號,0,0.0,1,2,B12,8.0,1.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,5.0,2.0,12.0,1,41.0,3.0,10.0,3.0,1.0,7.0,9.0,1.0,8.0,1.0,2.0,,44.0,7.0,1.0,22.0,4.0,121.508166,25.04095066,
110,3,6,9,40,2,05中正區,中正區中華路1段11號,0,0.0,1,1,C03,6.0,1.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,1.0,1.0,9.0,4.0,5.0,1.0,12.0,2,63.0,2.0,8.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,14.0,,44.0,44.0,1.0,22.0,9.0,121.5100005,25.04687806,
110,3,6,9,40,2,05中正區,中正區中華路1段11號,0,0.0,1,2,B01,6.0,1.0,5.0,50,14.0,9.0,1.0,4.0,4.0,5.0,7.0,1.0,1.0,9.0,4.0,5.0,1.0,12.0,1,49.0,3.0,10.0,1.0,1.0,7.0,8.0,1.0,4.0,1.0,2.0,,7.0,44.0,1.0,22.0,9.0,121.5100005,25.04687806,
110,3,21,9,45,2,05中正區,中正區中華路1段7號,0,0.0,1,1,B03,8.0,1.0,5.0,0,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,5.0,2.0,17.0,1,50.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,8.0,9.0,2.0,,43.0,43.0,1.0,22.0,9.0,121.5100125,25.047232,
110,3,21,9,45,2,05中正區,中正區中華路1段7號,0,0.0,1,2,C03,8.0,1.0,5.0,0,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,5.0,2.0,17.0,1,86.0,2.0,8.0,1.0,1.0,7.0,15.0,1.0,10.0,9.0,14.0,,43.0,43.0,1.0,22.0,9.0,121.5100125,25.047232,
110,4,14,18,58,2,05中正區,中正區中華路1段3號,0,0.0,2,1,C03,8.0,3.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,2.0,12.0,1,20.0,3.0,10.0,1.0,1.0,7.0,1.0,1.0,10.0,2.0,13.0,,19.0,19.0,1.0,22.0,9.0,121.5100845,25.04737106,
110,4,14,18,58,2,05中正區,中正區中華路1段3號,0,0.0,2,2,C01,8.0,3.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,2.0,12.0,1,23.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,9.0,2.0,11.0,,44.0,19.0,1.0,22.0,9.0,121.5100845,25.04737106,
110,4,14,18,58,2,05中正區,中正區中華路1段3號,0,0.0,2,3,H02,8.0,3.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,9.0,4.0,5.0,2.0,12.0,2,17.0,2.0,9.0,1.0,5.0,7.0,17.0,8.0,20.0,10.0,16.0,,67.0,19.0,1.0,22.0,9.0,121.5100845,25.04737106,
110,4,19,9,30,2,05中正區,中正區中華路1段77號,0,0.0,2,1,B01,8.0,1.0,5.0,0,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,5.0,5.0,2.0,17.0,1,61.0,4.0,11.0,3.0,4.0,7.0,10.0,7.0,19.0,11.0,15.0,,7.0,7.0,2.0,22.0,9.0,121.5076199,25.03903178,
110,4,19,9,30,2,05中正區,中正區中華路1段77號,0,0.0,2,2,C03,8.0,1.0,5.0,0,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,5.0,5.0,2.0,17.0,1,26.0,2.0,8.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,12.0,,44.0,7.0,1.0,21.0,8.0,121.5076199,25.03903178,
110,4,19,9,30,2,05中正區,中正區中華路1段77號,0,0.0,2,3,H02,8.0,1.0,5.0,0,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,5.0,5.0,2.0,17.0,2,26.0,2.0,7.0,1.0,1.0,7.0,20.0,8.0,20.0,10.0,16.0,,67.0,7.0,1.0,21.0,8.0,121.5076199,25.03903178,
110,4,22,3,30,2,05中正區,中正區中華路1段77號,0,0.0,3,1,B03,8.0,3.0,5.0,50,14.0,9.0,1.0,5.0,4.0,5.0,7.0,4.0,4.0,1.0,5.0,5.0,2.0,13.0,1,23.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,8.0,2.0,1.0,,23.0,23.0,1.0,21.0,8.0,121.507606,25.03904934,
