,發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,天候,速限,道路型態,事故位置
18005,108,1,9,8,54,2,05中正區,中正區市民大道2段往東(華山草原),0,2,1,C03,1,51.0,3.0,8.0,40,14.0,9.0
18006,108,1,9,8,54,2,05中正區,中正區市民大道2段往東(華山草原),0,2,2,C03,2,36.0,2.0,8.0,40,14.0,9.0
18007,108,1,9,8,54,2,05中正區,中正區市民大道2段往東(華山草原),0,2,3,C03,2,62.0,2.0,8.0,40,14.0,9.0
18008,108,1,15,18,21,2,05中正區,中正區公園路與貴陽街1段口,0,3,1,C03,1,30.0,2.0,8.0,50,4.0,1.0
18009,108,1,15,18,21,2,05中正區,中正區公園路與貴陽街1段口,0,3,2,H01,2,11.0,2.0,8.0,50,4.0,1.0
18010,108,1,15,18,21,2,05中正區,中正區公園路與貴陽街1段口,0,3,3,H02,2,49.0,2.0,8.0,50,4.0,1.0
18011,108,6,12,7,35,2,05中正區,中正區公園路與凱達格蘭大道口口,0,1,2,B02,1,24.0,3.0,7.0,50,4.0,2.0
18012,108,6,12,7,35,2,05中正區,中正區公園路與凱達格蘭大道口口,0,1,1,B03,1,49.0,4.0,7.0,50,4.0,2.0
18013,108,6,12,7,35,2,05中正區,中正區公園路與凱達格蘭大道口口,0,1,3,H02,2,98.0,2.0,7.0,50,4.0,2.0
18014,108,7,5,13,39,2,05中正區,中正區信義路2段255號,0,1,1,B03,2,38.0,3.0,8.0,50,14.0,8.0
18015,108,7,5,13,39,2,05中正區,中正區信義路2段255號,0,1,2,C03,1,69.0,2.0,8.0,50,14.0,8.0
18016,108,7,5,13,39,2,05中正區,中正區信義路2段255號,0,1,3,B01,1,64.0,3.0,8.0,50,14.0,8.0
18017,108,7,9,15,50,2,05中正區,中正區林森南路與濟南路1段口,0,1,1,A02,1,42.0,3.0,8.0,50,4.0,2.0
18018,108,7,9,15,50,2,05中正區,中正區林森南路與濟南路1段口,0,1,2,B03,1,47.0,3.0,8.0,50,4.0,2.0
18019,108,7,9,15,50,2,05中正區,中正區林森南路與濟南路1段口,0,1,3,C03,1,48.0,3.0,8.0,50,4.0,2.0
18020,108,7,9,15,50,2,05中正區,中正區林森南路與濟南路1段口,0,1,4,C03,3,0.0,,8.0,50,4.0,2.0
18021,108,7,9,15,50,2,05中正區,中正區林森南路與濟南路1段口,0,1,5,C04,2,56.0,2.0,8.0,50,4.0,2.0
18022,108,7,9,15,50,2,05中正區,中正區林森南路與濟南路1段口,0,1,6,C03,1,23.0,4.0,8.0,50,4.0,2.0
18023,108,7,11,13,40,2,05中正區,中正區中山南路與濟南路1段口,0,1,1,B03,2,39.0,3.0,8.0,50,3.0,2.0
18024,108,7,11,13,40,2,05中正區,中正區中山南路與濟南路1段口,0,1,2,C03,1,44.0,2.0,8.0,50,3.0,2.0
18025,108,7,12,13,18,2,05中正區,中正區濟南路1段開南商工前,0,1,1,C03,1,29.0,3.0,7.0,50,14.0,9.0
18026,108,7,12,13,18,2,05中正區,中正區濟南路1段開南商工前,0,1,2,C03,1,37.0,2.0,7.0,50,14.0,9.0
18027,108,7,27,8,36,2,05中正區,中正區重慶南路1段與貴陽街1段口,0,2,1,C03,1,43.0,2.0,8.0,50,4.0,2.0
18028,108,7,27,8,36,2,05中正區,中正區重慶南路1段與貴陽街1段口,0,2,2,C03,2,34.0,3.0,8.0,50,4.0,2.0
18029,108,7,27,8,36,2,05中正區,中正區重慶南路1段與貴陽街1段口,0,2,3,H02,2,19.0,2.0,8.0,50,4.0,2.0
18030,108,7,27,17,55,2,05中正區,中正區中山南路與青島西路口,0,1,1,B01,1,52.0,3.0,8.0,50,4.0,1.0
18031,108,7,27,17,55,2,05中正區,中正區中山南路與青島西路口,0,1,2,C03,1,19.0,2.0,8.0,50,4.0,1.0
18032,108,7,28,10,35,2,05中正區,中正區中山南路自由廣場前,0,1,1,B01,1,66.0,3.0,8.0,50,14.0,8.0
18033,108,7,28,10,35,2,05中正區,中正區中山南路自由廣場前,0,1,2,C03,2,34.0,2.0,8.0,50,14.0,8.0
18034,108,7,30,11,45,2,05中正區,中正區忠孝西路1段與中山北路1段口,0,1,1,C03,2,46.0,3.0,8.0,50,4.0,2.0
18035,108,7,30,11,45,2,05中正區,中正區忠孝西路1段與中山北路1段口,0,1,2,A02,1,40.0,3.0,8.0,50,4.0,2.0
18036,108,7,30,11,45,2,05中正區,中正區忠孝西路1段與中山北路1段口,0,1,3,H02,1,73.0,2.0,8.0,50,4.0,2.0
18037,108,8,7,22,39,2,05中正區,中正區仁愛路2段與臨沂街口,0,1,1,B02,1,42.0,3.0,6.0,50,4.0,2.0
18038,108,8,7,22,39,2,05中正區,中正區仁愛路2段與臨沂街口,0,1,2,C03,2,42.0,2.0,6.0,50,4.0,2.0
18039,108,8,10,16,27,2,05中正區,中正區館前路與開封街1段口,0,1,1,C03,1,18.0,3.0,8.0,50,3.0,2.0
18040,108,8,10,16,27,2,05中正區,中正區館前路與開封街1段口,0,1,2,H01,1,18.0,2.0,8.0,50,3.0,2.0
18041,108,7,5,2,0,2,05中正區,中正區金山北路與八德路1段口,0,1,1,B03,1,19.0,3.0,8.0,50,4.0,1.0
18042,108,7,5,2,0,2,05中正區,中正區金山北路與八德路1段口,0,1,2,C03,1,30.0,2.0,8.0,50,4.0,1.0
18043,108,7,5,18,10,2,05中正區,中正區中山南路與凱達格蘭大道口,0,1,1,B03,1,46.0,3.0,8.0,50,5.0,2.0
18044,108,7,5,18,10,2,05中正區,中正區中山南路與凱達格蘭大道口,0,1,2,F01,2,19.0,2.0,8.0,50,5.0,2.0
18045,108,7,3,8,33,2,05中正區,中正區市民大道3段2號,0,1,1,C03,1,34.0,3.0,8.0,40,14.0,8.0
18046,108,7,3,8,33,2,05中正區,中正區市民大道3段2號,0,1,2,C03,2,29.0,2.0,8.0,40,14.0,8.0
18047,108,5,20,13,32,2,05中正區,中正區重慶南路1段與貴陽街1段口,0,1,1,B03,1,78.0,3.0,6.0,50,4.0,1.0
18048,108,5,20,13,32,2,05中正區,中正區重慶南路1段與貴陽街1段口,0,1,2,C03,1,22.0,2.0,6.0,50,4.0,1.0
18049,108,6,5,10,55,2,05中正區,中正區中山北路1段與市民大道2段口,0,3,1,C03,1,33.0,2.0,8.0,40,4.0,1.0
18050,108,6,5,10,55,2,05中正區,中正區中山北路1段與市民大道2段口,0,3,3,C03,1,26.0,2.0,8.0,40,4.0,1.0
18051,108,6,5,10,55,2,05中正區,中正區中山北路1段與市民大道2段口,0,3,2,C03,1,25.0,2.0,8.0,40,4.0,1.0
18052,108,6,5,11,23,2,05中正區,中正區重慶南路1段與貴陽街1段口,0,1,1,B03,1,37.0,3.0,8.0,50,4.0,1.0
18053,108,6,5,11,23,2,05中正區,中正區重慶南路1段與貴陽街1段口,0,1,2,C03,1,21.0,2.0,8.0,50,4.0,1.0
18054,108,6,6,17,10,2,05中正區,中正區忠孝東路2段與新生南路1段口,0,1,1,B02,1,25.0,3.0,8.0,50,4.0,1.0
18055,108,6,6,17,10,2,05中正區,中正區忠孝東路2段與新生南路1段口,0,1,2,C03,1,22.0,2.0,8.0,50,4.0,1.0
18056,108,6,18,16,40,2,05中正區,中正區中山南路與信義路1段口,0,2,1,C03,2,38.0,2.0,8.0,50,16.0,9.0
18057,108,6,18,16,40,2,05中正區,中正區中山南路與信義路1段口,0,2,2,B01,1,61.0,3.0,8.0,50,16.0,9.0
18058,108,6,18,16,40,2,05中正區,中正區中山南路與信義路1段口,0,2,3,H02,2,46.0,2.0,8.0,50,16.0,9.0
18059,108,6,23,6,48,2,05中正區,中正區鄭州路與重慶北路1段口,0,1,1,C02,1,33.0,2.0,6.0,40,4.0,1.0
18060,108,6,23,6,48,2,05中正區,中正區鄭州路與重慶北路1段口,0,1,2,B01,1,46.0,3.0,6.0,40,4.0,1.0
18061,108,6,23,6,48,2,05中正區,中正區鄭州路與重慶北路1段口,0,1,3,B03,1,44.0,4.0,6.0,40,4.0,1.0
18062,108,7,26,13,23,2,05中正區,中正區中山北路1段與北平東路口口,0,1,3,H02,1,36.0,3.0,8.0,50,14.0,8.0
18063,108,7,26,12,45,2,05中正區,中正區中山北路1段與北平東路口口,0,1,1,B03,1,44.0,3.0,8.0,50,4.0,2.0
18064,108,7,26,12,45,2,05中正區,中正區中山北路1段與北平東路口口,0,1,2,C03,1,20.0,2.0,8.0,50,4.0,2.0
18065,108,7,26,20,55,2,05中正區,中正區忠孝西路1段與重慶南路1段口口,0,1,2,H01,2,34.0,2.0,8.0,50,4.0,1.0
18066,108,7,26,20,55,2,05中正區,中正區忠孝西路1段與重慶南路1段口口,0,1,1,B01,4,0.0,4.0,8.0,50,4.0,1.0
18067,108,7,10,11,21,2,05中正區,中正區中山南路與仁愛路1段口,0,1,1,B03,2,54.0,3.0,8.0,50,5.0,1.0
18068,108,7,10,11,21,2,05中正區,中正區中山南路與仁愛路1段口,0,1,2,C03,2,62.0,2.0,8.0,50,5.0,1.0
