,發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,2-30日死亡人數,受傷人數,當事人序,車種,天候,光線,道路類別,速限,道路型態,事故位置,路面狀況1,路面狀況2,路面狀況3,道路障礙1,道路障礙2,號誌1,號誌2,車道劃分-分向,車道劃分-分道1,車道劃分-分道2,車道劃分-分道3,事故類型及型態,性別,年齡,受傷程度,主要傷處,保護裝置,行動電話,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位1,車輛撞擊部位2,肇因碼-個別,肇因碼-主要,個人肇逃否,職業,旅次目的,X,Y
20,109,1,1,4,10,2,05中正區,中正區水源快速道路與中正橋口處,0,0,1,1,B03,8,3,5,40,3,1,1,5,4,5,7,4,4,3,4,5,2,17,1,27.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,8.0,2.0,4.0,6.0,6,1.0,22.0,9.0,121.5164902,25.02178052
21,109,1,1,4,10,2,05中正區,中正區水源快速道路與中正橋口處,0,0,1,2,C03,8,3,5,40,3,1,1,5,4,5,7,4,4,3,4,5,2,17,1,22.0,2.0,7.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,12.0,14.0,6,1.0,22.0,9.0,121.5164902,25.02178052
22,109,1,1,4,10,2,05中正區,中正區水源快速道路與中正橋口處,0,0,1,3,H02,8,3,5,40,3,1,1,5,4,5,7,4,4,3,4,5,2,17,2,22.0,4.0,11.0,1.0,5.0,7.0,20.0,8.0,20.0,10.0,16.0,67.0,6,1.0,22.0,9.0,121.5164902,25.02178052
61,109,1,1,14,30,2,05中正區,中正區汀州路3段與羅斯福路4段90巷口口,0,0,1,1,C03,8,1,5,50,4,1,1,5,4,5,7,1,1,5,4,5,2,11,1,26.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,12.0,4.0,4,1.0,22.0,9.0,121.5345002,25.01348977
62,109,1,1,14,30,2,05中正區,中正區汀州路3段與羅斯福路4段90巷口口,0,0,1,2,C03,8,1,5,50,4,1,1,5,4,5,7,1,1,5,4,5,2,11,1,20.0,2.0,8.0,1.0,1.0,7.0,5.0,1.0,10.0,2.0,14.0,44.0,4,1.0,22.0,9.0,121.5345002,25.01348977
80,109,1,1,17,16,2,05中正區,中正區市民大道1段與承德路1段口,0,0,1,1,B03,7,2,5,50,4,1,1,5,4,5,7,1,1,1,4,5,1,17,1,36.0,3.0,10.0,1.0,1.0,7.0,5.0,1.0,8.0,1.0,5.0,43.0,43,1.0,22.0,9.0,121.516417,25.04861742
81,109,1,1,17,16,2,05中正區,中正區市民大道1段與承德路1段口,0,0,1,2,C03,7,2,5,50,4,1,1,5,4,5,7,1,1,1,4,5,1,17,1,30.0,3.0,10.0,1.0,1.0,7.0,1.0,1.0,10.0,1.0,14.0,43.0,43,1.0,22.0,9.0,121.516417,25.04861742
82,109,1,1,17,16,2,05中正區,中正區市民大道1段與承德路1段口,0,0,1,3,H02,7,2,5,50,4,1,1,5,4,5,7,1,1,1,4,5,1,17,1,31.0,2.0,8.0,1.0,1.0,7.0,20.0,8.0,20.0,10.0,15.0,67.0,43,1.0,22.0,9.0,121.516417,25.04861742
95,109,1,1,20,30,2,05中正區,中正區重慶南路3段與重慶南路3段174巷口口,0,0,2,1,C03,8,3,5,30,4,1,1,5,4,5,7,1,1,10,4,5,2,13,1,29.0,2.0,5.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,23.0,23,1.0,22.0,9.0,121.5167146,25.02305567
96,109,1,1,20,30,2,05中正區,中正區重慶南路3段與重慶南路3段174巷口口,0,0,2,2,C03,8,3,5,30,4,1,1,5,4,5,7,1,1,10,4,5,2,13,2,27.0,2.0,5.0,1.0,1.0,7.0,12.0,1.0,10.0,2.0,12.0,44.0,23,1.0,22.0,9.0,121.5167146,25.02305567
107,109,1,1,23,44,2,05中正區,中正區思源街16號與思源街口,0,0,1,1,C03,8,3,5,50,3,1,1,5,4,5,7,1,1,3,4,4,2,17,1,68.0,4.0,11.0,3.0,4.0,7.0,11.0,7.0,19.0,11.0,15.0,10.0,10,2.0,22.0,9.0,121.5301716,25.01354507
108,109,1,1,23,44,2,05中正區,中正區思源街16號與思源街口,0,0,1,2,C03,8,3,5,50,3,1,1,5,4,5,7,1,1,3,4,4,2,17,1,21.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,14.0,44.0,10,1.0,22.0,9.0,121.5301716,25.01354507
