發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,2-30日死亡人數,受傷人數,當事人序,車種,天候,光線,道路類別,速限,道路型態,事故位置,路面狀況1,路面狀況2,路面狀況3,道路障礙1,道路障礙2,號誌1,號誌2,車道劃分-分向,車道劃分-分道1,車道劃分-分道2,車道劃分-分道3,事故類型及型態,性別,年齡,受傷程度,主要傷處,保護裝置,行動電話,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位1,車輛撞擊部位2,肇因碼-個別,肇因碼-主要,個人肇逃否,職業,旅次目的,X,Y
11,110,1,1,2,0,2,05中正區,中正區桃源街1段與寶慶路1段口,0,0,1,1,B03,7,3,5,50,4,1,1,5,4,5,7,3,1,10,4,5,2,17,1,52.0,4.0,11.0,3.0,4.0,7.0,15.0,7.0,19.0,11.0,15.0,,6.0,6,2.0,22.0,9.0,121.5104149,25.04130472
12,110,1,1,2,0,2,05中正區,中正區桃源街1段與寶慶路1段口,0,0,1,2,C03,7,3,5,50,4,1,1,5,4,5,7,3,1,10,4,5,2,17,1,24.0,2.0,9.0,1.0,1.0,7.0,9.0,6.0,10.0,9.0,12.0,,14.0,6,1.0,22.0,9.0,121.5104149,25.04130472
41,110,1,1,8,47,2,05中正區,中正區愛國東路與愛國東路74巷附近口,0,0,1,1,C03,8,1,5,40,3,2,1,5,4,5,7,4,4,1,4,4,1,17,1,18.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,,23.0,23,1.0,22.0,9.0,121.5197817,25.03352168
42,110,1,1,8,47,2,05中正區,中正區愛國東路與愛國東路74巷附近口,0,0,1,2,B03,8,1,5,40,3,2,1,5,4,5,7,4,4,1,4,4,1,17,1,71.0,3.0,10.0,1.0,1.0,7.0,14.0,1.0,8.0,2.0,3.0,,26.0,23,1.0,22.0,9.0,121.5197817,25.03352168
43,110,1,1,8,47,2,05中正區,中正區愛國東路與愛國東路74巷附近口,0,0,1,3,H02,8,1,5,40,3,2,1,5,4,5,7,4,4,1,4,4,1,17,2,21.0,4.0,11.0,1.0,5.0,7.0,20.0,8.0,20.0,10.0,16.0,,67.0,23,1.0,22.0,9.0,121.5197817,25.03352168
54,110,1,1,13,26,2,05中正區,中正區羅斯福路1段與寧波西街口,0,0,1,1,B03,8,1,5,50,4,1,1,5,4,5,7,1,1,3,4,4,2,17,1,37.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,8.0,2.0,5.0,,44.0,44,1.0,22.0,9.0,121.5191128,25.03168888
55,110,1,1,13,26,2,05中正區,中正區羅斯福路1段與寧波西街口,0,0,1,2,C03,8,1,5,50,4,1,1,5,4,5,7,1,1,3,4,4,2,17,1,81.0,2.0,9.0,1.0,1.0,7.0,7.0,3.0,18.0,2.0,13.0,,7.0,44,1.0,22.0,9.0,121.5191128,25.03168888
105,110,1,1,21,45,2,05中正區,中正區重慶南路3段與詔安街口,0,0,1,1,C03,7,3,5,30,3,1,1,5,4,5,7,4,4,10,5,5,2,17,4,,4.0,11.0,3.0,4.0,7.0,15.0,7.0,19.0,11.0,15.0,,43.0,43,2.0,22.0,9.0,121.5163993,25.02525145
106,110,1,1,21,45,2,05中正區,中正區重慶南路3段與詔安街口,0,0,1,2,C03,7,3,5,30,3,1,1,5,4,5,7,4,4,10,5,5,2,17,2,46.0,2.0,9.0,1.0,1.0,7.0,6.0,1.0,10.0,2.0,12.0,,42.0,43,1.0,22.0,9.0,121.5163993,25.02525145
107,110,1,1,21,50,2,05中正區,中正區汀州路2段327號,0,0,1,1,C03,8,3,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,13,2,53.0,2.0,9.0,1.0,1.0,7.0,9.0,4.0,11.0,2.0,11.0,,23.0,23,1.0,22.0,9.0,121.5250075,25.02139154
108,110,1,1,21,50,2,05中正區,中正區汀州路2段327號,0,0,1,2,C03,8,3,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,13,1,26.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,13.0,,44.0,23,1.0,22.0,9.0,121.5250075,25.02139154
109,110,1,1,21,50,2,05中正區,中正區汀州路2段327號,0,0,1,3,H01,8,3,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,13,2,64.0,3.0,10.0,4.0,5.0,8.0,16.0,8.0,20.0,10.0,16.0,,51.0,23,1.0,22.0,9.0,121.5250075,25.02139154
165,110,1,2,12,35,2,05中正區,中正區重慶南路3段與寧波西街口,0,0,2,1,C03,7,1,5,50,4,1,1,5,4,5,7,1,1,1,4,5,2,12,1,24.0,2.0,9.0,1.0,1.0,7.0,4.0,1.0,10.0,2.0,11.0,,42.0,42,1.0,22.0,9.0,121.515328,25.029788
166,110,1,2,12,35,2,05中正區,中正區重慶南路3段與寧波西街口,0,0,2,2,F01,7,1,5,50,4,1,1,5,4,5,7,1,1,1,4,5,2,12,2,52.0,2.0,9.0,4.0,5.0,7.0,9.0,8.0,20.0,2.0,16.0,,44.0,42,1.0,22.0,9.0,121.515328,25.029788
206,110,1,2,17,25,2,05中正區,中正區中華路2段與廣州街口,0,0,1,1,A02,7,1,5,50,14,9,1,5,4,5,7,2,1,1,3,5,1,9,1,54.0,3.0,10.0,1.0,1.0,7.0,7.0,1.0,2.0,1.0,15.0,,43.0,43,1.0,22.0,9.0,121.5066138,25.03614649
207,110,1,2,17,25,2,05中正區,中正區中華路2段與廣州街口,0,0,1,2,H02,7,1,5,50,14,9,1,5,4,5,7,2,1,1,3,5,1,9,2,61.0,2.0,9.0,4.0,5.0,7.0,17.0,8.0,20.0,10.0,15.0,,67.0,43,1.0,22.0,9.0,121.5066138,25.03614649
375,110,1,3,20,17,2,05中正區,中正區中山南路與信義路1段口,0,0,2,1,C03,8,3,5,50,14,8,1,5,4,5,7,1,1,1,5,1,2,13,2,25.0,2.0,8.0,3.0,4.0,7.0,12.0,1.0,10.0,2.0,11.0,,16.0,16,1.0,22.0,9.0,121.5176891,25.03861055
376,110,1,3,20,17,2,05中正區,中正區中山南路與信義路1段口,0,0,2,2,C03,8,3,5,50,14,8,1,5,4,5,7,1,1,1,5,1,2,13,2,24.0,3.0,10.0,1.0,4.0,7.0,14.0,1.0,10.0,2.0,13.0,,44.0,16,1.0,22.0,9.0,121.5176891,25.03861055
